Time,Time Index,Monthly volatility (std/mean)
9/2019 - 1,1,0
9/2019 - 2,2,0.000563395
9/2019 - 3,3,0.000581952
10/2019 - 1,4,0.025431091
10/2019 - 2,5,0.004425314
10/2019 - 3,6,0.009960391
11/2019 - 1,7,0.007308381
11/2019 - 2,8,0.008321236
11/2019 - 3,9,0.0067841
12/2019 - 1,10,0.002429543
12/2019 - 2,11,0.00704823
12/2019 - 3,12,0.00192794
1/2020 - 1,13,0.019474497
1/2020 - 2,14,0.009548926
1/2020 - 3,15,0.000414099
2/2020 - 1,16,2.29218E-05
2/2020 - 2,17,0.000776933
2/2020 - 3,18,0.010801653
3/2020 - 1,19,0.010611589
3/2020 - 2,20,0.084525372
3/2020 - 3,21,0.020012449
4/2020 - 1,22,0.031696939
4/2020 - 2,23,0.000616503
4/2020 - 3,24,0.000747545
5/2020 - 1,25,0.209655802
5/2020 - 2,26,0.061858362
5/2020 - 3,27,0.000974075
6/2020 - 1,28,0.015654608
6/2020 - 2,29,0.000387351
6/2020 - 3,30,0.019512457
7/2020 - 1,31,0.024736374
7/2020 - 2,32,0.021686093
7/2020 - 3,33,0.026746716
8/2020 - 1,34,0.009768652
8/2020 - 2,35,0.010644576
8/2020 - 3,36,0.002048791
9/2020 - 1,37,0.001540684
9/2020 - 2,38,0.006475069
9/2020 - 3,39,0.01737738
10/2020 - 1,40,0.004854678
10/2020 - 2,41,0.006225951
10/2020 - 3,42,0.004851719
11/2020 - 1,43,0.004857368
11/2020 - 2,44,0.001658371
11/2020 - 3,45,0.000170637
12/2020 - 1,46,0.004877748
12/2020 - 2,47,0.000134364
12/2020 - 3,48,0.014609769
1/2021 - 1,49,0.008013215
1/2021 - 2,50,0.004559686
1/2021 - 3,51,0.001180473
2/2021 - 1,52,0.015551301
2/2021 - 2,53,0.000279548
2/2021 - 3,54,0.000289736
3/2021 - 1,55,0.000210849
3/2021 - 2,56,0.000131195
3/2021 - 3,57,0.128381911
4/2021 - 1,58,0.008335306
4/2021 - 2,59,1.56639E-16
4/2021 - 3,60,0.022476762
5/2021 - 1,61,0.004932044
5/2021 - 2,62,0.004205219
5/2021 - 3,63,0.001488891
6/2021 - 1,64,0.004162302
6/2021 - 2,65,0.000484637
6/2021 - 3,66,0.00781757
7/2021 - 1,67,0.001440852
7/2021 - 2,68,0.012011724
7/2021 - 3,69,0
8/2021 - 1,70,0.027757948
8/2021 - 2,71,0.013173891
8/2021 - 3,72,0.006634383
9/2021 - 1,73,0.002612747
9/2021 - 2,74,0.023903368
9/2021 - 3,75,0.004848295
10/2021 - 1,76,0.001493445
10/2021 - 2,77,0.030229283
10/2021 - 3,78,0.003702215
11/2021 - 1,79,0.016870708
11/2021 - 2,80,0.013418837
11/2021 - 3,81,0.003835092
12/2021 - 1,82,2.13191E-05
12/2021 - 2,83,0.000120524
12/2021 - 3,84,0.002408817
1/2022 - 1,85,4.9256E-05
1/2022 - 2,86,0.014400632
1/2022 - 3,87,0.01683461
2/2022 - 1,88,0.003860195
2/2022 - 2,89,0.048617574
2/2022 - 3,90,0.017775248